Timestep,agent_joint_pos_J8,joint_pos_J8,joint_pos_J9,agent_gripper_computed,delay,,,joint_pos_J8,agent_gripper_computed
0.25,0.018777,0.032212,0.034342,0.018777,,,,0.032212,0.018777
0.26,1.058913,0.035997,0.036424,0.04,,,,0.035997,0.04
0.27,1.191527,0.037585,0.037728,0.04,,,,0.037585,0.04
0.28,0.825026,0.038449,0.038774,0.04,,,,0.038449,0.04
0.29,0.545193,0.038898,0.039633,0.04,,,,0.038898,0.04
0.3,0.449947,0.039247,0.04,0.04,,,,0.039247,0.04
0.31,0.395032,0.039492,0.04,0.04,,,,0.039492,0.04
0.32,0.347137,0.039674,0.04,0.04,,,,0.039674,0.04
0.33,0.341544,0.039831,0.04,0.04,,,,0.039831,0.04
0.34,0.389408,0.039961,0.04,0.04,,,,0.039961,0.04
0.35,0.446096,0.04,0.04,0.04,,,,0.04,0.04
0.36,0.489733,0.04,0.04,0.04,,,,0.04,0.04
0.37,0.527691,0.04,0.04,0.04,,,,0.04,0.04
0.38,0.575556,0.04,0.04,0.04,,,,0.04,0.04
0.39,0.639304,0.04,0.04,0.04,,,,0.04,0.04
0.4,0.738056,0.04,0.04,0.04,,,,0.04,0.04
0.41,0.886942,0.04,0.04,0.04,,,,0.04,0.04
0.42,1.034263,0.04,0.04,0.04,,,,0.04,0.04
0.43,1.262608,0.039916,0.04,0.04,,,,0.039916,0.04
0.44,1.441447,0.039959,0.04,0.04,,,,0.039959,0.04
0.45,1.688995,0.04,0.04,0.04,,,,0.04,0.04
0.46,1.81392,0.04,0.04,0.04,,,,0.04,0.04
0.47,1.836484,0.04,0.04,0.04,,,,0.04,0.04
0.48,1.834546,0.04,0.04,0.04,,,,0.04,0.04
0.49,1.825346,0.04,0.04,0.04,,,,0.04,0.04
0.5,1.803435,0.04,0.04,0.04,,,,0.04,0.04
0.51,1.766327,0.04,0.04,0.04,,,,0.04,0.04
0.52,1.722265,0.04,0.04,0.04,,,,0.04,0.04
0.53,1.673567,0.039996,0.04,0.04,,,,0.039996,0.04
0.54,1.624071,0.039993,0.04,0.04,,,,0.039993,0.04
0.55,1.594988,0.039991,0.04,0.04,,,,0.039991,0.04
0.56,1.589971,0.039992,0.04,0.04,,,,0.039992,0.04
0.57,1.595239,0.039996,0.04,0.04,,,,0.039996,0.04
0.58,2.057754,0.039997,0.039937,0.04,,,,0.039997,0.04
0.59,2.067679,0.04,0.039858,0.04,,,,0.04,0.04
0.6,2.134606,0.04,0.039847,0.04,,,,0.04,0.04
0.61,2.237772,0.04,0.039941,0.04,,,,0.04,0.04
0.62,2.348807,0.04,0.04,0.04,,,,0.04,0.04
0.63,2.284379,0.04,0.04,0.04,,,,0.04,0.04
0.64,2.253417,0.04,0.04,0.04,,,,0.04,0.04
0.65,2.266135,0.04,0.04,0.04,,,,0.04,0.04
0.66,2.287839,0.04,0.04,0.04,,,,0.04,0.04
0.67,2.312288,0.04,0.04,0.04,,,,0.04,0.04
0.68,2.199209,0.04,0.04,0.04,,,,0.04,0.04
0.69,2.204146,0.04,0.04,0.04,,,,0.04,0.04
0.7,2.223478,0.04,0.04,0.04,,,,0.04,0.04
0.71,2.23369,0.04,0.04,0.04,,,,0.04,0.04
0.72,2.233156,0.04,0.04,0.04,,,,0.04,0.04
0.73,2.227631,0.04,0.04,0.04,,,,0.04,0.04
0.74,2.217381,0.04,0.04,0.04,,,,0.04,0.04
0.75,2.201117,0.04,0.04,0.04,,,,0.04,0.04
0.76,2.176458,0.04,0.04,0.04,,,,0.04,0.04
0.77,2.144987,0.04,0.04,0.04,,,,0.04,0.04
0.78,2.109361,0.04,0.04,0.04,,,,0.04,0.04
0.79,2.071884,0.039992,0.04,0.04,,,,0.039992,0.04
0.8,2.034508,0.039978,0.04,0.04,,,,0.039978,0.04
0.81,1.999032,0.039965,0.04,0.04,,,,0.039965,0.04
0.82,1.967094,0.039956,0.04,0.04,,,,0.039956,0.04
0.83,1.939999,0.039952,0.04,0.04,,,,0.039952,0.04
0.84,1.918495,0.039953,0.04,0.04,,,,0.039953,0.04
0.85,1.902709,0.039959,0.04,0.04,,,,0.039959,0.04
0.86,1.892258,0.039967,0.04,0.04,,,,0.039967,0.04
0.87,1.886448,0.039975,0.04,0.04,,,,0.039975,0.04
0.88,1.884562,0.039984,0.04,0.04,,,,0.039984,0.04
0.89,1.885725,0.039992,0.04,0.04,,,,0.039992,0.04
0.9,1.889056,0.039997,0.04,0.04,,,,0.039997,0.04
0.91,1.893772,0.04,0.04,0.04,,,,0.04,0.04
0.92,1.899195,0.04,0.04,0.04,,,,0.04,0.04
0.93,1.904788,0.04,0.04,0.04,,,,0.04,0.04
0.94,1.910102,0.039999,0.04,0.04,,,,0.039999,0.04
0.95,1.914777,0.039998,0.04,0.04,,,,0.039998,0.04
0.96,1.918552,0.039995,0.04,0.04,,,,0.039995,0.04
0.97,1.92126,0.039991,0.04,0.04,,,,0.039991,0.04
0.98,1.922827,0.039987,0.04,0.04,,,,0.039987,0.04
0.99,1.923257,0.039984,0.04,0.04,,,,0.039984,0.04
1,1.922625,0.039981,0.04,0.04,,,,0.039981,0.04
1.01,1.921063,0.039978,0.04,0.04,,,,0.039978,0.04
1.02,1.918741,0.039975,0.04,0.04,,,,0.039975,0.04
1.03,1.915852,0.039973,0.04,0.04,,,,0.039973,0.04
1.04,1.912598,0.039972,0.04,0.04,,,,0.039972,0.04
1.05,1.909173,0.03997,0.04,0.04,,,,0.03997,0.04
1.06,1.905756,0.03997,0.04,0.04,,,,0.03997,0.04
1.07,1.902498,0.039969,0.04,0.04,,,,0.039969,0.04
1.08,1.899519,0.039969,0.04,0.04,,,,0.039969,0.04
1.09,1.896908,0.03997,0.04,0.04,,,,0.03997,0.04
1.1,1.89472,0.03997,0.04,0.04,,,,0.03997,0.04
1.11,1.892979,0.039971,0.04,0.04,,,,0.039971,0.04
1.12,1.891683,0.039971,0.04,0.04,,,,0.039971,0.04
1.13,1.890806,0.039972,0.04,0.04,,,,0.039972,0.04
1.14,1.890306,0.039973,0.04,0.04,,,,0.039973,0.04
1.15,1.890128,0.039973,0.04,0.04,,,,0.039973,0.04
1.16,1.890212,0.039974,0.04,0.04,,,,0.039974,0.04
1.17,1.890494,0.039974,0.04,0.04,,,,0.039974,0.04
1.18,1.890913,0.039975,0.04,0.04,,,,0.039975,0.04
1.19,1.891409,0.039975,0.04,0.04,,,,0.039975,0.04
1.2,1.891934,0.039975,0.04,0.04,,,,0.039975,0.04
1.21,1.892445,0.039975,0.04,0.04,,,,0.039975,0.04
1.22,1.892907,0.039975,0.04,0.04,,,,0.039975,0.04
1.23,1.893299,0.039975,0.04,0.04,,,,0.039975,0.04
1.24,1.893603,0.039975,0.04,0.04,,,,0.039975,0.04
1.25,1.893813,0.039975,0.04,0.04,,,,0.039975,0.04
1.26,1.893929,0.039974,0.04,0.04,,,,0.039974,0.04
1.27,1.893958,0.039974,0.04,0.04,,,,0.039974,0.04
1.28,1.893909,0.039974,0.04,0.04,,,,0.039974,0.04
1.29,1.893796,0.039974,0.04,0.04,,,,0.039974,0.04
1.3,1.893633,0.039974,0.04,0.04,,,,0.039974,0.04
1.31,1.893437,0.039974,0.04,0.04,,,,0.039974,0.04
1.32,1.893222,0.039974,0.04,0.04,,,,0.039974,0.04
1.33,1.893002,0.039974,0.04,0.04,,,,0.039974,0.04
1.34,1.89279,0.039974,0.04,0.04,,,,0.039974,0.04
1.35,1.892594,0.039974,0.04,0.04,,,,0.039974,0.04
1.36,1.892422,0.039974,0.04,0.04,,,,0.039974,0.04
1.37,1.892278,0.039974,0.04,0.04,,,,0.039974,0.04
1.38,1.892165,0.039974,0.04,0.04,,,,0.039974,0.04
1.39,1.892083,0.039974,0.04,0.04,,,,0.039974,0.04
1.4,1.89203,0.039974,0.04,0.04,,,,0.039974,0.04
1.41,1.892005,0.039974,0.04,0.04,,,,0.039974,0.04
1.42,1.892003,0.039974,0.04,0.04,,,,0.039974,0.04
1.43,1.892019,0.039974,0.04,0.04,,,,0.039974,0.04
1.44,1.892049,0.039974,0.04,0.04,,,,0.039974,0.04
1.45,1.892089,0.039974,0.04,0.04,,,,0.039974,0.04
1.46,1.892135,0.039974,0.04,0.04,,,,0.039974,0.04
1.47,1.892182,0.039974,0.04,0.04,,,,0.039974,0.04
1.48,1.892227,0.039974,0.04,0.04,,,,0.039974,0.04
1.49,1.892268,0.039974,0.04,0.04,,,,0.039974,0.04
1.5,1.892303,0.039974,0.04,0.04,,,,0.039974,0.04
1.51,1.892331,0.039974,0.04,0.04,,,,0.039974,0.04
1.52,1.892352,0.039974,0.04,0.04,,,,0.039974,0.04
1.53,1.892364,0.039974,0.04,0.04,,,,0.039974,0.04
1.54,1.89237,0.039974,0.04,0.04,,,,0.039974,0.04
1.55,1.892369,0.039974,0.04,0.04,,,,0.039974,0.04
1.56,1.892363,0.039974,0.04,0.04,,,,0.039974,0.04
1.57,1.892353,0.039974,0.04,0.04,,,,0.039974,0.04
1.58,1.89234,0.039974,0.04,0.04,,,,0.039974,0.04
1.59,1.892325,0.039974,0.04,0.04,,,,0.039974,0.04
1.6,1.89231,0.039974,0.04,0.04,,,,0.039974,0.04
1.61,1.892295,0.039974,0.04,0.04,,,,0.039974,0.04
1.62,1.892281,0.039974,0.04,0.04,,,,0.039974,0.04
1.63,1.892269,0.039974,0.04,0.04,,,,0.039974,0.04
1.64,1.892258,0.039974,0.04,0.04,,,,0.039974,0.04
1.65,1.89225,0.039974,0.04,0.04,,,,0.039974,0.04
1.66,1.892244,0.039974,0.04,0.04,,,,0.039974,0.04
1.67,1.892241,0.039974,0.04,0.04,,,,0.039974,0.04
1.68,1.892239,0.039974,0.04,0.04,,,,0.039974,0.04
1.69,1.892239,0.039974,0.04,0.04,,,,0.039974,0.04
1.7,1.892241,0.039974,0.04,0.04,,,,0.039974,0.04
1.71,1.892244,0.039974,0.04,0.04,,,,0.039974,0.04
1.72,1.892247,0.039974,0.04,0.04,,,,0.039974,0.04
1.73,1.892251,0.039974,0.04,0.04,,,,0.039974,0.04
1.74,1.892254,0.039974,0.04,0.04,,,,0.039974,0.04
1.75,1.892258,0.039974,0.04,0.04,,,,0.039974,0.04
1.76,1.892261,0.039974,0.04,0.04,,,,0.039974,0.04
1.77,1.892264,0.039974,0.04,0.04,,,,0.039974,0.04
1.78,1.892267,0.039974,0.04,0.04,,,,0.039974,0.04
1.79,1.892268,0.039974,0.04,0.04,,,,0.039974,0.04
1.8,1.89227,0.039974,0.04,0.04,,,,0.039974,0.04
1.81,1.89227,0.039974,0.04,0.04,,,,0.039974,0.04
1.82,1.89227,0.039974,0.04,0.04,,,,0.039974,0.04
1.83,1.89227,0.039974,0.04,0.04,,,,0.039974,0.04
1.84,1.892269,0.039974,0.04,0.04,,,,0.039974,0.04
1.85,1.892268,0.039974,0.04,0.04,,,,0.039974,0.04
1.86,1.892267,0.039974,0.04,0.04,,,,0.039974,0.04
1.87,1.892266,0.039974,0.04,0.04,,,,0.039974,0.04
1.88,1.892265,0.039974,0.04,0.04,,,,0.039974,0.04
1.89,1.892264,0.039974,0.04,0.04,,,,0.039974,0.04
1.9,1.892263,0.039974,0.04,0.04,,,,0.039974,0.04
1.91,1.892262,0.039974,0.04,0.04,,,,0.039974,0.04
1.92,1.892262,0.039974,0.04,0.04,,,,0.039974,0.04
1.93,1.892261,0.039974,0.04,0.04,,,,0.039974,0.04
1.94,1.892261,0.039974,0.04,0.04,,,,0.039974,0.04
1.95,1.892261,0.039974,0.04,0.04,,,,0.039974,0.04
1.96,1.892261,0.039974,0.04,0.04,,,,0.039974,0.04
1.97,1.892261,0.039974,0.04,0.04,,,,0.039974,0.04
1.98,1.892261,0.039974,0.04,0.04,,,,0.039974,0.04
1.99,1.892261,0.039974,0.04,0.04,,,,0.039974,0.04
2,1.892262,0.039974,0.04,0.04,,,,0.039974,0.04
2.01,1.892262,0.039974,0.04,0.04,,,,0.039974,0.04
2.02,1.892262,0.039974,0.04,0.04,,,,0.039974,0.04
2.03,1.892262,0.039974,0.04,0.04,,,,0.039974,0.04
2.04,1.892263,0.039974,0.04,0.04,,,,0.039974,0.04
2.05,1.892263,0.039974,0.04,0.04,,,,0.039974,0.04
2.06,1.892263,0.039974,0.04,0.04,,,,0.039974,0.04
2.07,1.892263,0.039974,0.04,0.04,,,,0.039974,0.04
2.08,1.892263,0.039974,0.04,0.04,,,,0.039974,0.04
2.09,1.892263,0.039974,0.04,0.04,,,,0.039974,0.04
2.1,1.892263,0.039974,0.04,0.04,,,,0.039974,0.04
2.11,1.892263,0.039974,0.04,0.04,,,,0.039974,0.04
2.12,1.892263,0.039974,0.04,0.04,,,,0.039974,0.04
2.13,1.892263,0.039974,0.04,0.04,,,,0.039974,0.04
2.14,1.892262,0.039974,0.04,0.04,,,,0.039974,0.04
2.15,1.892262,0.039974,0.04,0.04,,,,0.039974,0.04
2.16,1.892262,0.039974,0.04,0.04,,,,0.039974,0.04
2.17,1.892262,0.039974,0.04,0.04,,,,0.039974,0.04
2.18,1.892262,0.039974,0.04,0.04,,,,0.039974,0.04
2.19,1.892262,0.039974,0.04,0.04,,,,0.039974,0.04
2.2,1.892262,0.039974,0.04,0.04,,,,0.039974,0.04
2.21,1.892262,0.039974,0.04,0.04,,,,0.039974,0.04
2.22,1.892262,0.039974,0.04,0.04,,,,0.039974,0.04
2.23,1.892262,0.039974,0.04,0.04,,,,0.039974,0.04
2.24,1.892262,0.039974,0.04,0.04,,,,0.039974,0.04
2.25,1.892262,0.039974,0.04,0.04,,,,0.039974,0.04
2.26,1.892262,0.039974,0.04,0.04,,,,0.039974,0.04
2.27,1.892262,0.039974,0.04,0.04,,,,0.039974,0.04
2.28,1.892262,0.039974,0.04,0.04,,,,0.039974,0.04
2.29,1.892262,0.039974,0.04,0.04,,,,0.039974,0.04
2.3,1.892262,0.039974,0.04,0.04,,,,0.039974,0.04
2.31,1.892262,0.039974,0.04,0.04,,,,0.039974,0.04
2.32,1.892262,0.039974,0.04,0.04,,,,0.039974,0.04
2.33,1.892262,0.039974,0.04,0.04,,,,0.039974,0.04
2.34,1.892262,0.039974,0.04,0.04,,,,0.039974,0.04
2.35,1.892262,0.039974,0.04,0.04,,,,0.039974,0.04
2.36,1.892262,0.039974,0.04,0.04,,,,0.039974,0.04
2.37,1.892262,0.039974,0.04,0.04,,,,0.039974,0.04
2.38,1.892262,0.039974,0.04,0.04,,,,0.039974,0.04
2.39,1.892262,0.039974,0.04,0.04,,,,0.039974,0.04
2.4,1.892262,0.039974,0.04,0.04,,,,0.039974,0.04
2.41,1.892262,0.039974,0.04,0.04,,,,0.039974,0.04
2.42,1.892262,0.039974,0.04,0.04,,,,0.039974,0.04
2.43,1.892262,0.039974,0.04,0.04,,,,0.039974,0.04
2.44,1.892262,0.039974,0.04,0.04,,,,0.039974,0.04
2.45,1.892262,0.039974,0.04,0.04,,,,0.039974,0.04
2.46,1.892262,0.039974,0.04,0.04,,,,0.039974,0.04
2.47,1.892262,0.039974,0.04,0.04,,,,0.039974,0.04
2.48,1.892262,0.039974,0.04,0.04,,,,0.039974,0.04
2.49,1.892262,0.04,0.04,0.04,,,,0.04,0.04
